title,authors,year,venue,citation_count,is_open_access,main_url,pdf_url,query
Technological disruptions in services: lessons from tourism and hospitality,"Dimitrios Buhalis, Tracy Harwood, Vanja Bogicevic, Giampaolo Viglia, Srikanth Beldona, Charles F. Hofacker",2019,Journal of service management,830,True,https://openalex.org/W2923469844,https://researchportal.port.ac.uk/ws/files/14720539/Technological_disruptions_in_services.pdf,AI inference chip competition
Artificial intelligence in supply chain management: A systematic literature review,"Reza Toorajipour, Vahid Sohrabpour, Ali Nazarpour, Pejvak Oghazi, Maria Fischl",2020,Journal of Business Research,817,True,https://openalex.org/W3089252064,https://www.sciencedirect.com/science/article/pii/S014829632030583X?via%3Dihub,AI inference chip competition
Anomalies: The Ultimatum Game,Richard H. Thaler,1988,The Journal of Economic Perspectives,812,True,https://openalex.org/W2046167847,https://www.aeaweb.org/articles/pdf/doi/10.1257/jep.2.4.195,AI inference chip competition
Deep learning for AI,"Yoshua Bengio, Yann LeCun, Geoffrey E. Hinton",2021,Communications of the ACM,577,True,https://openalex.org/W3176707157,https://dl.acm.org/doi/pdf/10.1145/3448250,AI inference chip competition
Common principles and best practices for engineering microbiomes,"Christopher E. Lawson, William R. Harcombe, Roland Hatzenpichler, Stephen R. Lindemann, Frank E. Löffler, Michelle O’Malley, Héctor García Martín, Brian F. Pfleger, Lutgarde Raskin, Ophelia S. Venturelli, David G. Weissbrodt, Daniel R. Noguera, Katherine D. McMahon",2019,Nature Reviews Microbiology,568,True,https://openalex.org/W2974481407,https://www.nature.com/articles/s41579-019-0255-9.pdf,AI inference chip competition
Advancing Neuromorphic Computing With Loihi: A Survey of Results and Outlook,"Mike Davies, Andreas Wild, Garrick Orchard, Yulia Sandamirskaya, G. A. Fonseca Guerra, Prasad Joshi, Philipp Plank, Sumedh R. Risbud",2021,Proceedings of the IEEE,557,True,https://openalex.org/W3139657805,https://ieeexplore.ieee.org/ielx7/5/9420072/09395703.pdf,AI inference chip competition
Applications of single-cell sequencing in cancer research: progress and perspectives,"Yalan Lei, Rong Tang, Jin Xu, Wei Wang, Bo Zhang, Jiang Liu, Xianjun Yu, Si Shi",2021,Journal of Hematology & Oncology,557,True,https://openalex.org/W3169274538,https://jhoonline.biomedcentral.com/counter/pdf/10.1186/s13045-021-01105-2,AI inference chip competition
"The malicious use of artificial intelligence: Forecasting, prevention, and mitigation","Miles Brundage, Shahar Avin, Jack Clark, Helen Toner, Peter Eckersley, Ben Garfinkel, Allan Dafoe, Paul Scharre, Thomas Zeitzoff, Bobby Filar, Hyrum S. Anderson, Heather M. Roff, Gregory C. Allen, Jacob Steinhardt, Carrick Flynn, Seán Ó hÉigeartaigh, SJ Beard, Haydn Belfield, Sebastian Farquhar, Clare Lyle, Rebecca Crootof, Owain Evans, Michael Le Page, Joanna J. Bryson, Roman V. Yampolskiy, Dario Amodei",2018,Apollo (University of Cambridge),524,True,https://openalex.org/W2787887017,https://www.repository.cam.ac.uk/handle/1810/275332,AI inference chip competition
Artificial intelligence and computational pathology,"Miao Cui, David Y. Zhang",2021,Laboratory Investigation,495,True,https://openalex.org/W3121943121,https://www.nature.com/articles/s41374-020-00514-0.pdf,AI inference chip competition
"Artificial General Intelligence: Concept, State of the Art, and Future Prospects",Ben Goertzel,2014,Journal of Artificial General Intelligence,478,True,https://openalex.org/W2017561954,https://sciendo.com/pdf/10.2478/jagi-2014-0001,AI inference chip competition
FPGA-Based Accelerators of Deep Learning Networks for Learning and Classification: A Review,"Ahmad Shawahna, Sadiq M. Sait, Aiman H. El‐Maleh",2018,IEEE Access,462,True,https://openalex.org/W2907463061,https://ieeexplore.ieee.org/ielx7/6287639/8600701/08594633.pdf,AI inference chip competition
Advances and Trends in Omics Technology Development,"Xiaofeng Dai, Li Shen",2022,Frontiers in Medicine,454,True,https://openalex.org/W4283799942,https://www.frontiersin.org/articles/10.3389/fmed.2022.911861/pdf,AI inference chip competition
"A Survey of the Connected Vehicle Landscape—Architectures, Enabling Technologies, Applications, and Development Areas","Joshua Siegel, Dylan C. Erb, Sanjay E. Sarma",2017,IEEE Transactions on Intelligent Transportation Systems,434,True,https://openalex.org/W2762158083,https://ieeexplore.ieee.org/ielx7/6979/8425132/08058008.pdf,AI inference chip competition
"Predictive big data analytics for supply chain demand forecasting: methods, applications, and research opportunities","Mahya Seyedan, Fereshteh Mafakheri",2020,Journal Of Big Data,429,True,https://openalex.org/W3044719873,https://journalofbigdata.springeropen.com/track/pdf/10.1186/s40537-020-00329-2,AI inference chip competition
The Determinants of Mutual Fund Performance: A Cross-Country Study,"Miguel A. Ferreira, Aneel Keswani, António F. Miguel, Sofía B. Ramos",2012,European Finance Review,429,True,https://openalex.org/W3121412182,https://academic.oup.com/rof/article-pdf/17/2/483/26304764/rfs013.pdf,AI inference chip competition
Deep learning in mining biological data,"Mufti Mahmud, M. Shamim Kaiser, T.M. McGinnity, Amir Hussain",2021,Nottingham Trent University's Institutional Repository (Nottingham Trent Repository),415,True,https://openalex.org/W3091860120,,AI inference chip competition
Neural Dynamics as Sampling: A Model for Stochastic Computation in Recurrent Networks of Spiking Neurons,"Lars Buesing, Johannes Bill, Bernhard Nessler, Wolfgang Maass",2011,PLoS Computational Biology,394,True,https://openalex.org/W2051137788,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1002211&type=printable,AI inference chip competition
A Survey on the Convergence of Edge Computing and AI for UAVs: Opportunities and Challenges,"Patrick McEnroe, Shen Wang, Madhusanka Liyanage",2022,IEEE Internet of Things Journal,392,True,https://openalex.org/W4285105424,https://ieeexplore.ieee.org/ielx7/6488907/9866069/09778241.pdf,AI inference chip competition
"The AI gambit: leveraging artificial intelligence to combat climate change—opportunities, challenges, and recommendations","Josh Cowls, Andreas Tsamados, Mariarosaria Taddeo, Luciano Floridi",2021,AI & Society,377,True,https://openalex.org/W3207559276,https://link.springer.com/content/pdf/10.1007/s00146-021-01294-x.pdf,AI inference chip competition
The second decade of 3C technologies: detailed insights into nuclear organization,"Annette Denker, Wouter de Laat",2016,Genes & Development,365,True,https://openalex.org/W2461460074,http://genesdev.cshlp.org/content/30/12/1357.full.pdf,AI inference chip competition
